KEYCODE,TYPE,BROKERS_WITH_DATA,TOTAL_BROKERS,COVERAGE_PCT,TOTAL_RECORDS,SAMPLE_BROKERS,STATUS
IS.6,IS,103,144,71.5,3716,"AAS, ABW, ACBS, AGR, AIS",GOOD
IS.30,IS,105,144,72.9,3594,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.69,IS,107,144,74.3,2663,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.11,IS,108,144,75.0,3708,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.25,IS,108,144,75.0,3748,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.32,IS,108,144,75.0,3750,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.15,IS,110,144,76.4,3559,"AAS, ABW, ACBS, AGR, AIS",GOOD
IS.67,IS,111,144,77.1,4005,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.12,IS,113,144,78.5,3696,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.33,IS,117,144,81.2,4219,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.66,IS,118,144,81.9,4647,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.62,IS,124,144,86.1,2975,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.1,IS,125,144,86.8,5220,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.41,IS,125,144,86.8,5207,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.42,IS,125,144,86.8,5226,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.72,IS,125,144,86.8,5228,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.14,IS,134,144,93.1,5365,"AAS, ABSC, ABW, ACBS, AGR",GOOD
IS.16,IS,140,144,97.2,5159,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.13,IS,145,144,100.7,5317,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.10,IS,148,144,102.8,6516,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.19,IS,148,144,102.8,6273,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.21,IS,148,144,102.8,6650,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.58,IS,148,144,102.8,6933,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.59,IS,148,144,102.8,6943,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.61,IS,148,144,102.8,5867,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.63,IS,148,144,102.8,6087,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.65,IS,148,144,102.8,8373,"AAS, AASC, ABSC, ABW, ACBS",GOOD
IS.71,IS,148,144,102.8,8373,"AAS, AASC, ABSC, ABW, ACBS",GOOD
